index,pred
0,1
1,1
2,0
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,0
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,0
583,0
584,0
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,0
607,0
608,0
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,0
617,1
618,0
619,0
620,1
621,1
622,0
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,1
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,1
671,0
672,0
673,1
674,1
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,0
697,0
698,1
699,0
700,0
701,1
702,1
703,1
704,0
705,0
706,0
707,1
708,1
709,0
710,0
711,1
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,0
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,1
751,0
752,1
753,1
754,0
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,0
763,1
764,0
765,1
766,1
767,1
768,1
769,0
770,0
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,0
785,1
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,0
807,1
808,1
809,0
810,0
811,1
812,0
